station,lon,lat,p70,p99
Huibertgat,6.398433,53.573748,0.095108693,0.900050781
Schiermonnikoog,6.202908,53.468935,0.09370667,1.000464073
Eemshaven,6.828392,53.448699,0.096512522,1.062969726
Nes,5.758907,53.429936,0.092642083,1.003521423
Lauwersoog,6.196952,53.408684,0.093626399,1.033275285
West_Terschelling,5.220026,53.363043,0.08523915,0.87967898
Vlieland_Haven,5.091456,53.296125,0.08148783,0.851187467
Harlingen,5.409342,53.175632,0.093081892,1.032931632
Oudeschild,4.850192,53.038833,0.086672351,0.878051127
Den_Helder,4.74499,52.964357,0.085310047,0.830806772
Petten_Zuid,4.649702,52.772657,0.095584411,0.823620217
Scheveningen,4.263563,52.099033,0.088563383,0.833139696
Hoek_van_Holland,4.119881,51.977572,0.082166127,0.765547873
Brouwershavensche_Gat_08,3.811483,51.750754,0.088005961,0.87127408
Westkapelle,3.440031,51.521445,0.087056742,0.780670797
Cadzand,3.376275,51.379296,0.089183834,0.78737421
