POINTID|YEAR|MONTH|DISCHRG
2|1969|1|117
2|1969|2|119
2|1969|3|117
2|1969|4|150
2|1969|5|155
2|1969|6|117
2|1969|7|110
2|1969|8|104
2|1969|9|39
2|1969|10|116
2|1969|11|138
2|1969|12|131
2|1970|1|125
2|1970|2|125
2|1970|3|127
2|1970|4|137
2|1970|5|139
2|1970|6|112
2|1970|7|106
2|1970|8|102
2|1970|9|101
2|1970|10|105
2|1970|11|145
2|1970|12|146
2|1971|1|129
2|1971|2|124
2|1971|3|137
2|1971|4|134
2|1971|5|138
2|1971|6|123
2|1971|7|110
2|1971|8|101
2|1971|9|106
2|1971|10|122
2|1971|11|141
2|1971|12|148
2|1972|1|139
2|1972|2|119
2|1972|3|117
2|1972|4|122
2|1972|5|125
2|1972|6|108
2|1972|7|104
2|1972|8|99
2|1972|9|96
2|1972|10|109
2|1972|11|178
2|1972|12|139
4|1951|1| 
4|1951|2| 
4|1951|3| 
4|1951|4|5.35
4|1951|5|9.01
4|1951|6|23.2
4|1951|7|45.7
4|1951|8|55.4
4|1951|9|64.9
4|1951|10|77.6
4|1951|11|60
4|1951|12|30
4|1952|1|15.6
4|1952|2|11.1
4|1952|3|6.62
4|1952|4|5.57
4|1952|5|20.6
4|1952|6|26
4|1952|7|49
4|1952|8|63.6
4|1952|9|94.8
4|1952|10|86.7
4|1952|11|47.1
4|1952|12|25.7
4|1953|1|16.9
4|1953|2|10.4
4|1953|3|9.4
4|1953|4|9.3
4|1953|5|8.65
4|1953|6|11.3
4|1953|7|23.7
4|1953|8|56.1
4|1953|9|87.1
4|1953|10|84
4|1953|11|37.1
4|1953|12|21.2
4|1954|1|14.2
4|1954|2|9.48
4|1954|3|8.85
4|1954|4|8.9
4|1954|5|13.8
4|1954|6|45.6
4|1954|7|57.3
4|1954|8|60
4|1954|9|98.6
4|1954|10|98.7
4|1954|11|45.1
4|1954|12|25.4
4|1955|1|16.6
4|1955|2|11
4|1955|3|7.94
4|1955|4|6.36
4|1955|5|12.2
4|1955|6|19.6
4|1955|7|52.5
4|1955|8|70.9
4|1955|9|67.2
4|1955|10|110
4|1955|11|57.1
4|1955|12|27.6
4|1956|1|17.5
4|1956|2|13.6
4|1956|3|12.2
4|1956|4|11.7
4|1956|5|13.4
4|1956|6|31.7
4|1956|7|66
4|1956|8|72.2
4|1956|9|90.1
4|1956|10|63
4|1956|11|30
4|1956|12|19.5
4|1957|1|13.3
4|1957|2|8.63
4|1957|3|5.18
4|1957|4|6.82
4|1957|5|17.7
4|1957|6|30.4
4|1957|7|67.7
4|1957|8|75
4|1957|9|92.9
4|1957|10|96.9
4|1957|11|48.2
4|1957|12|39.2
4|1958|1|32.3
4|1958|2|11
4|1958|3|6.8
4|1958|4|7.56
4|1958|5|18.9
4|1958|6|38.7
4|1958|7|62.9
4|1958|8|57.3
4|1958|9|78.5
4|1958|10|88.4
4|1958|11|43.1
4|1958|12|23.1
4|1959|1|15.8
4|1959|2|10.3
4|1959|3|6.31
4|1959|4|9.34
4|1959|5|22.6
4|1959|6|42.1
4|1959|7|72.5
4|1959|8|88.1
4|1959|9|92.6
4|1959|10|72.6
4|1959|11|33.2
4|1959|12|20.5
4|1960|1|14
4|1960|2|9.38
4|1960|3|3.43
4|1960|4|12.1
4|1960|5|27.2
4|1960|6|40.6
4|1960|7|58.1
4|1960|8|68.5
4|1960|9|80.4
4|1960|10|84.6
4|1960|11|51.5
4|1960|12|27.3
4|1961|1|17.4
4|1961|2|11.5
4|1961|3|7.28
4|1961|4| 
4|1961|5| 
4|1961|6| 
4|1961|7| 
4|1961|8| 
4|1961|9| 
4|1961|10| 
4|1961|11| 
4|1961|12| 
4|1962|1| 
4|1962|2| 
4|1962|3| 
4|1962|4|12
4|1962|5|26
4|1962|6|46.5
4|1962|7|59.9
4|1962|8|65
4|1962|9|95.1
4|1962|10|79.2
4|1962|11|44
4|1962|12|26.2
4|1963|1|16.8
4|1963|2|10.9
4|1963|3|7.14
4|1963|4|11
4|1963|5|27
4|1963|6|26
4|1963|7|35.7
4|1963|8|68.5
4|1963|9|93.9
4|1963|10|89.4
4|1963|11|41
4|1963|12|23.5
4|1964|1|15.8
4|1964|2|10.6
4|1964|3|9.09
4|1964|4|12.2
4|1964|5|32
4|1964|6|40.5
4|1964|7|52.6
4|1964|8|65.8
4|1964|9|96.9
4|1964|10|72.3
4|1964|11|38.6
4|1964|12|22.1
4|1965|1|15.2
4|1965|2|10.4
4|1965|3|7.21
4|1965|4|8.75
4|1965|5|18.6
4|1965|6|31.7
4|1965|7|84.7
4|1965|8|95.1
4|1965|9|90.4
4|1965|10|72.8
4|1965|11|32.9
4|1965|12|20
4|1966|1|14.3
4|1966|2|10.4
4|1966|3|5.91
4|1966|4|11.3
4|1966|5|39.2
4|1966|6|46.6
4|1966|7|83.4
4|1966|8|74.2
4|1966|9|92
4|1966|10|74.5
4|1966|11|33.3
4|1966|12|20.3
4|1967|1|14.3
4|1967|2|8.1
4|1967|3|5.95
4|1967|4|8.72
4|1967|5|19.8
4|1967|6|32.2
4|1967|7|39.9
4|1967|8| 
4|1967|9| 
4|1967|10| 
4|1967|11| 
4|1967|12| 
4|1968|1|14.2
4|1968|2|9.52
4|1968|3|6.69
4|1968|4|11
4|1968|5|20.1
4|1968|6|33.7
4|1968|7|55.7
4|1968|8|71.7
4|1968|9|70.4
4|1968|10|61.1
4|1968|11|30.4
4|1968|12|18
4|1969|1|13
4|1969|2|8.8
4|1969|3|8.9
4|1969|4|13.5
4|1969|5|18.5
4|1969|6|36.5
4|1969|7|77
4|1969|8|80
4|1969|9|112
4|1969|10|91.5
4|1969|11|46.5
4|1969|12|25.5
4|1970|1|18
4|1970|2|12.5
4|1970|3|8.2
4|1970|4|10
4|1970|5|15.5
4|1970|6|28
4|1970|7|65
4|1970|8|83
4|1970|9|85
4|1970|10|59
4|1970|11|29.5
4|1970|12|18
4|1971|1|12
4|1971|2|7.2
4|1971|3|5.7
4|1971|4|8.8
4|1971|5|8.5
4|1971|6|27.5
4|1971|7|70.1
4|1971|8|71
4|1971|9|82
4|1971|10|50
4|1971|11|25
4|1971|12|15.5
4|1972|1|11
4|1972|2|6.1
4|1972|3|3.8
4|1972|4|9.3
4|1972|5|11
4|1972|6|29
4|1972|7|37
4|1972|8|59
4|1972|9|62
4|1972|10|64
4|1972|11|30.5
4|1972|12|17.5
4|1973|1|10.5
4|1973|2|5.9
4|1973|3|3.1
4|1973|4|7
4|1973|5|12.5
4|1973|6|19.5
4|1973|7|40.5
4|1973|8|57.5
4|1973|9|63.5
4|1973|10|48.5
4|1973|11|23.5
4|1973|12|14
4|1974|1|9.4
4|1974|2|5
4|1974|3|2.7
4|1974|4|14
4|1974|5|33
4|1974|6|41
4|1974|7|69.5
4|1974|8|78.5
4|1974|9|109
4|1974|10|99.5
4|1974|11|42.5
4|1974|12|24
4|1975|1|16
4|1975|2|10.5
4|1975|3|6.3
4|1975|4| 
4|1975|5|22.5
4|1975|6| 
4|1975|7|62.5
4|1975|8|72.5
4|1975|9|102
4|1975|10|88.5
4|1975|11| 
4|1975|12|26
4|1976|1|15.8
4|1976|2|10.9
4|1976|3|7.64
4|1976|4|6.85
4|1976|5|15
4|1976|6|46.5
4|1976|7|69.7
4|1976|8|98.3
4|1976|9|94.5
4|1976|10|82.3
4|1976|11|49.8
4|1976|12|26
4|1977|1|17.1
4|1977|2|11.3
4|1977|3|6.73
4|1977|4|5.39
4|1977|5|9.02
4|1977|6|26.1
4|1977|7|59.8
4|1977|8|74.4
4|1977|9|73.9
4|1977|10|60.7
4|1977|11|28.5
4|1977|12|18
4|1978|1|12.4
4|1978|2|8.3
4|1978|3|5.08
4|1978|4|14.3
4|1978|5|31.5
4|1978|6|66.1
4|1978|7|63.9
4|1978|8|63.4
4|1978|9|92.7
4|1978|10|66.1
4|1978|11|33.6
4|1978|12|20.2
4|1979|1|14.1
4|1979|2|9.18
4|1979|3|6.44
4|1979|4|7.08
4|1979|5|18.8
4|1979|6|33
4|1979|7|51.1
4|1979|8|74.8
4|1979|9|79.3
4|1979|10|57.8
4|1979|11|34.5
4|1979|12|19.6
4|1980|1|13.4
4|1980|2|8.81
4|1980|3|5.65
4|1980|4|4.72
4|1980|5|18
4|1980|6|22.7
4|1980|7|48.5
4|1980|8|68.7
4|1980|9|84
4|1980|10|59.3
4|1980|11|35.4
4|1980|12|19.7
5|1969|1|203
5|1969|2|156
5|1969|3|190
5|1969|4|269
5|1969|5|215
5|1969|6|100
5|1969|7|69
5|1969|8|55
5|1969|9|44
5|1969|10|81
5|1969|11|140
5|1969|12|263
5|1970|1|184
5|1970|2|238
5|1970|3|210
5|1970|4|313
5|1970|5|261
5|1970|6|109
5|1970|7|75
5|1970|8|58
5|1970|9|49
5|1970|10|63
5|1970|11|320
5|1970|12|301
5|1971|1| 
5|1971|2| 
5|1971|3| 
5|1971|4| 
5|1971|5| 
5|1971|6| 
5|1971|7| 
5|1971|8| 
5|1971|9| 
5|1971|10| 
5|1971|11| 
5|1971|12| 
5|1972|1|176
5|1972|2|164
5|1972|3|115
5|1972|4|254
5|1972|5|219
5|1972|6|100
5|1972|7|68
5|1972|8|52
5|1972|9|50.2
5|1972|10|55
5|1972|11|270
5|1972|12|289
5|1973|1|221
5|1973|2|172
5|1973|3|152
5|1973|4|308
5|1973|5|396
5|1973|6|145
5|1973|7|85.5
5|1973|8|62
5|1973|9|56.5
5|1973|10|66.5
5|1973|11|317
5|1973|12|253
5|1974|1|276
5|1974|2|278
5|1974|3|230
5|1974|4|305
5|1974|5|181
5|1974|6|88.7
5|1974|7|64.5
5|1974|8|52.5
5|1974|9|45
5|1974|10|62
5|1974|11|160
5|1974|12|168
5|1975|1|242
5|1975|2|253
5|1975|3|328
5|1975|4|306
5|1975|5|182
5|1975|6|106
5|1975|7|70.5
5|1975|8|52.5
5|1975|9|43
5|1975|10|76.5
5|1975|11|250
5|1975|12|269
5|1976|1|400
5|1976|2|172
5|1976|3|193
5|1976|4|305
5|1976|5|186
5|1976|6|93
5|1976|7|65
5|1976|8|52
5|1976|9|47
5|1976|10|50
5|1976|11|127
5|1976|12|211
5|1977|1|262
5|1977|2|139
5|1977|3|196
5|1977|4|211
5|1977|5|163
5|1977|6|118
5|1977|7|68.5
5|1977|8|53.5
5|1977|9|47
5|1977|10|73
5|1977|11|411
5|1977|12|466
5|1978|1|190
5|1978|2|135
5|1978|3|115
5|1978|4|124
5|1978|5|114
5|1978|6|63
5|1978|7|49
5|1978|8|40
5|1978|9|36.5
5|1978|10|40
5|1978|11|150
5|1978|12|189
5|1979|1|172
5|1979|2|202
5|1979|3|199
5|1979|4|253
5|1979|5|320
5|1979|6|121
5|1979|7|76
5|1979|8|55
5|1979|9|51
5|1979|10|51.5
5|1979|11|122
5|1979|12|235
5|1980|1|298
5|1980|2|304
5|1980|3|184
5|1980|4|299
5|1980|5|325
5|1980|6|128
5|1980|7|78.5
5|1980|8|81
5|1980|9|54.5
5|1980|10|55
5|1980|11|181
5|1980|12|288
5|1981|1| 
5|1981|2|313
5|1981|3|376
5|1981|4|383
5|1981|5| 
5|1981|6|109
5|1981|7|68
5|1981|8|53.5
5|1981|9|46.5
5|1981|10|99.5
5|1981|11|199
5|1981|12|326
5|1982|1|263
5|1982|2|240
5|1982|3|217
5|1982|4|200
5|1982|5|155
5|1982|6|83.5
5|1982|7|63
5|1982|8|50
5|1982|9|41.5
5|1982|10|52.5
5|1982|11|228
5|1982|12|353
5|1983|1|275
5|1983|2|196
5|1983|3|195
5|1983|4|286
5|1983|5|212
5|1983|6|94
5|1983|7|62.5
5|1983|8|48
5|1983|9|42.5
5|1983|10|45
5|1983|11|210
5|1983|12|201
7|1955|1| 
7|1955|2| 
7|1955|3|14
7|1955|4|21.6
7|1955|5|43.9
7|1955|6|47.3
7|1955|7|26
7|1955|8|27.1
7|1955|9|69.4
7|1955|10|76.7
7|1955|11|101
7|1955|12|43.6
7|1956|1|19.3
7|1956|2|11.1
7|1956|3|64
7|1956|4|52.2
7|1956|5|72.5
7|1956|6|90.1
7|1956|7|54.3
7|1956|8|24
7|1956|9|59.3
7|1956|10|86.4
7|1956|11|112
7|1956|12|77.4
7|1957|1|37.5
7|1957|2|23
7|1957|3|18.7
7|1957|4|26.3
7|1957|5|47.7
7|1957|6|89.4
7|1957|7|59.4
7|1957|8|52
7|1957|9|140
7|1957|10|193
7|1957|11|155
7|1957|12|98.7
7|1958|1|50.8
7|1958|2|28.1
7|1958|3|36
7|1958|4|58.4
7|1958|5|77.1
7|1958|6|69.6
7|1958|7|20.6
7|1958|8|22.6
7|1958|9|38.5
7|1958|10|87.8
7|1958|11|79.3
7|1958|12|52.7
7|1959|1|26.7
7|1959|2|14.7
7|1959|3|14
7|1959|4|37.7
7|1959|5|71.8
7|1959|6|73.7
7|1959|7|68
7|1959|8|48.9
7|1959|9|79.4
7|1959|10|164
7|1959|11|134
7|1959|12|81.4
7|1960|1|49.9
7|1960|2|33.2
7|1960|3|31.1
7|1960|4|52
7|1960|5|67.6
7|1960|6|66.2
7|1960|7|73.2
7|1960|8|93.2
7|1960|9|92
7|1960|10|173
7|1960|11|165
7|1960|12|86.8
7|1961|1|53.3
7|1961|2|35.5
7|1961|3|23.9
7|1961|4|44.1
7|1961|5|46.9
7|1961|6|50.3
7|1961|7|59.7
7|1961|8|20.1
7|1961|9|48.6
7|1961|10|98.5
7|1961|11|87.3
7|1961|12|40.8
7|1962|1|16
7|1962|2|12.3
7|1962|3|54.2
7|1962|4|71.2
7|1962|5|66.7
7|1962|6|58.4
7|1962|7|45.3
7|1962|8|24.6
7|1962|9|66.8
7|1962|10|150
7|1962|11|122
7|1962|12|88.7
7|1963|1|44.4
7|1963|2|30.1
7|1963|3|80.9
